"id","type","title","front","back","teacher_use"
"calculator-trust-test-stimulus-01","Stimulus","Calculator Trust Test Stimulus A","Student-facing stimulus 1: A calculator output checked against estimation, mental maths, and another tool, such as log10(1000) = 3. Work the example, then decide whether it gives a pattern, a model, a calculation, or a proof.","Students inspect this exact card first and commit to a claim before hearing anyone else.","Print or project as the first shared stimulus."
"calculator-trust-test-stimulus-02","Stimulus","Calculator Trust Test Stimulus B","Student-facing stimulus 2: A deliberately mistyped expression that creates a plausible wrong answer. Work the example, then decide whether it gives a pattern, a model, a calculation, or a proof.","Use this for comparison, a second round, or a partner challenge.","Reveal after the first response so students can revise."
"calculator-trust-test-stimulus-03","Stimulus","Calculator Trust Test Reveal / Twist","Student-facing stimulus 3: A trust checklist for tools: input, process, output, and independent check. Work the example, then decide whether it gives a pattern, a model, a calculation, or a proof.","Teacher reveal: connect the changed response to the big idea — Tools need interpretation.","Use to create the revision moment."
"calculator-trust-test-question-01","Lesson question","Question 1","Write one claim in a complete sentence.","Teacher cue: look for a clear claim, not just a description.","Students answer before the teacher reveal."
"calculator-trust-test-question-02","Lesson question","Question 2","List two pieces of evidence.","Teacher cue: students should name visible words, data, source features, method features, or contextual clues.","Students answer before the teacher reveal."
"calculator-trust-test-question-03","Lesson question","Question 3","Separate observation from interpretation.","Teacher cue: this is where assumptions, framing, models, or perspective usually appear.","Students answer before the teacher reveal."
"calculator-trust-test-question-04","Lesson question","Question 4","Circle one confidence level and justify it.","Teacher cue: confidence is data for the debrief, not a grade.","Students answer before the teacher reveal."
"calculator-trust-test-question-05","Lesson question","Question 5","Name one piece of missing information.","Teacher cue: push for method, source, context, comparison, or definitions.","Students answer before the teacher reveal."
"calculator-trust-test-question-06","Lesson question","Question 6","Answer using the activity as evidence.","Teacher cue: students should move from the classroom example to a general TOK issue.","Students answer before the teacher reveal."
"calculator-trust-test-task-01","Student task","Student Task","Use the stimulus cards to complete the observation/inference/evidence/confidence grid, then answer one TOK knowledge question connected to Mathematics.","Does technology make mathematical knowledge more reliable?","Use as the main activity instruction."
"calculator-trust-test-reveal-01","Teacher reveal","Teacher Reveal","The key move is not the “right answer”; it is the moment students see how tools need interpretation.","Strong response: separates observation from inference. | Strong response: names a method, source, model, language choice, context, or perspective. | Strong response: revises confidence when new evidence or a new criterion appears. | Weak response: gives only opinion or says “it depends” without criteria.","Use after students commit to an answer."
